Date,League,Home_Team,Away_Team,FTR,FTHG,FTAG,HS,AS,HST,AST,Home_ELO,Away_ELO,Home_Win_Streak,Away_Win_Streak,Home_Loss_Streak,Away_Loss_Streak,Home_Unbeaten_Streak,Away_Unbeaten_Streak,Home_Winless_Streak,Away_Winless_Streak,Home_Points_Last_5,Away_Points_Last_5,Home_Points_Last_10,Away_Points_Last_10,Home_Points_Last_20,Away_Points_Last_20,Home_Net_FTG,Away_Net_FTG,Home_Net_S,Away_Net_S,Home_Net_ST,Away_Net_ST,FTHG_Conceded,FTAG_Conceded,HST_Conceded,AST_Conceded,HS_Conceded,AS_Conceded
2023-09-17,SP1,Villarreal,Almeria,2,2,1,10,17,4,7,931.990648067391,894.899676799998,0,0,2,0,0,1,2,1,3,1,3,1,3,1,1,-1,-7,7,-3,3,1,2,7,4,17,10
2023-09-17,SP1,Sevilla,Las Palmas,2,1,0,26,12,9,2,914.512441899465,949.471079627425,0,0,2,2,0,0,2,2,0,2,0,2,0,2,1,-1,14,-14,7,-7,0,1,2,9,12,26
2023-09-17,SP1,Real Madrid,Sociedad,2,2,1,17,15,8,5,1120.04896437062,1035.85539943101,1,0,0,0,1,1,0,1,12,6,12,6,12,6,1,-1,2,-2,3,-3,1,2,5,8,15,17
2023-09-18,SP1,Granada,Girona,0,2,4,12,13,5,7,919.863670691612,1098.73035289969,1,1,0,0,1,2,0,0,3,10,3,10,3,10,-2,2,-1,1,-2,2,4,2,7,5,13,12
2023-09-22,SP1,Alaves,Athletic Club,0,0,2,15,11,5,3,949.653038064832,1102.02824821578,2,0,0,0,2,2,0,1,6,10,6,10,6,10,-2,2,4,-4,2,-2,2,0,3,5,11,15
2023-09-23,SP1,Girona,Mallorca,2,5,3,23,15,10,5,1121.81297004559,969.881798151415,2,1,0,0,2,1,0,0,13,5,13,5,13,5,2,-2,8,-8,5,-5,3,5,5,10,15,23
2023-09-23,SP1,Osasuna,Sevilla,1,0,0,16,15,2,3,964.478940024998,949.721429257042,0,0,2,1,0,0,2,1,6,3,6,3,6,3,0,0,1,-1,-1,1,0,0,3,2,15,16
2023-09-23,SP1,Barcelona,Celta,2,3,2,15,13,6,7,1159.3388975883,932.673794844059,2,1,0,0,2,2,0,0,13,4,13,4,13,4,1,-1,2,-2,-1,1,2,3,7,6,13,15
2023-09-23,SP1,Almeria,Valencia,1,2,2,17,7,10,5,866.302962313434,1062.97629191981,0,0,3,1,0,0,3,1,1,9,1,9,1,9,0,0,10,-10,5,-5,2,2,5,10,7,17
2023-09-24,SP1,Sociedad,Getafe,2,4,3,10,10,6,7,1011.46160620729,996.353404024994,1,0,0,2,3,0,0,2,6,7,6,7,6,7,1,-1,0,0,-1,1,3,4,7,6,10,10
